# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.114557e+02	1.204100e+02	1.146429e+02
50           	walls	2.627853e+01	3.245803e+02	2.463542e+02
100          	walls	2.481944e+01	3.305994e+02	2.405296e+02
150          	walls	2.282015e+01	3.324710e+02	2.431605e+02
200          	walls	2.178946e+01	3.331552e+02	2.474496e+02
250          	walls	2.180616e+01	3.332266e+02	2.504239e+02
300          	walls	2.195169e+01	3.331561e+02	2.513714e+02
350          	walls	2.153057e+01	3.333037e+02	2.515317e+02
400          	walls	2.082361e+01	3.336072e+02	2.515536e+02
450          	walls	2.018446e+01	3.339021e+02	2.515492e+02
500          	walls	1.974563e+01	3.341143e+02	2.515389e+02
550          	walls	1.951354e+01	3.342321e+02	2.515294e+02
600          	walls	1.940808e+01	3.342857e+02	2.515232e+02
650          	walls	1.934140e+01	3.343164e+02	2.515200e+02
700          	walls	1.928049e+01	3.343434e+02	2.515183e+02
750          	walls	1.922516e+01	3.343692e+02	2.515174e+02
800          	walls	1.918176e+01	3.343902e+02	2.515168e+02
850          	walls	1.915125e+01	3.344052e+02	2.515165e+02
900          	walls	1.913088e+01	3.344152e+02	2.515163e+02
950          	walls	1.911733e+01	3.344219e+02	2.515163e+02
1000         	walls	1.910674e+01	3.344269e+02	2.515163e+02
1050         	walls	1.910037e+01	3.344298e+02	2.515163e+02
1100         	walls	1.909467e+01	3.344324e+02	2.515163e+02
1150         	walls	1.909162e+01	3.344342e+02	2.515163e+02
1200         	walls	1.908814e+01	3.344356e+02	2.515163e+02
1250         	walls	1.908561e+01	3.344365e+02	2.515163e+02
1300         	walls	1.908533e+01	3.344374e+02	2.515163e+02
1350         	walls	1.908388e+01	3.344377e+02	2.515163e+02
1400         	walls	1.908284e+01	3.344383e+02	2.515162e+02
1450         	walls	1.908245e+01	3.344386e+02	2.515163e+02
1500         	walls	1.908228e+01	3.344386e+02	2.515163e+02
1550         	walls	1.908171e+01	3.344389e+02	2.515162e+02
1600         	walls	1.908165e+01	3.344389e+02	2.515162e+02
1650         	walls	1.908168e+01	3.344389e+02	2.515163e+02
1700         	walls	1.908124e+01	3.344389e+02	2.515162e+02
1750         	walls	1.904916e+01	3.344391e+02	2.515158e+02
1800         	walls	1.912175e+01	3.344395e+02	2.515168e+02
1850         	walls	1.913209e+01	3.344392e+02	2.515168e+02
1900         	walls	1.909873e+01	3.344394e+02	2.515164e+02
1903         	walls	1.910399e+01	3.344392e+02	2.515164e+02
