# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	6.521080e+01	9.556331e+01	9.246304e+01
50           	walls	7.917931e+00	2.040927e+02	8.916415e+01
100          	walls	1.008776e+01	2.039106e+02	8.558215e+01
150          	walls	5.204803e+00	2.036246e+02	8.734364e+01
200          	walls	4.541535e+00	2.005917e+02	9.049145e+01
250          	walls	1.254213e+01	1.995547e+02	9.354141e+01
300          	walls	3.613431e+00	2.000028e+02	9.471410e+01
350          	walls	3.533966e+00	2.011562e+02	9.541802e+01
400          	walls	3.702313e+00	2.024413e+02	9.571276e+01
450          	walls	5.485196e+00	2.036013e+02	9.599802e+01
500          	walls	5.700122e+00	2.045946e+02	9.608165e+01
550          	walls	6.994901e+00	2.054383e+02	9.624186e+01
600          	walls	7.354433e+00	2.061390e+02	9.637776e+01
650          	walls	7.580999e+00	2.067129e+02	9.645611e+01
700          	walls	7.340879e+00	2.071805e+02	9.649217e+01
750          	walls	2.427525e+00	2.075687e+02	9.649091e+01
800          	walls	6.497763e+00	2.078999e+02	9.658155e+01
850          	walls	7.883102e+00	2.081805e+02	9.664134e+01
900          	walls	7.892531e+00	2.084154e+02	9.668209e+01
950          	walls	7.891456e+00	2.086055e+02	9.671176e+01
1000         	walls	7.883702e+00	2.087562e+02	9.673383e+01
1050         	walls	7.873108e+00	2.088735e+02	9.675117e+01
1100         	walls	7.861826e+00	2.089670e+02	9.676457e+01
1150         	walls	7.850756e+00	2.090442e+02	9.677507e+01
1200         	walls	7.840293e+00	2.091071e+02	9.678312e+01
1250         	walls	7.830625e+00	2.091577e+02	9.678933e+01
1300         	walls	7.821952e+00	2.091985e+02	9.679421e+01
1350         	walls	7.814366e+00	2.092319e+02	9.679813e+01
1400         	walls	7.807634e+00	2.092598e+02	9.680121e+01
1450         	walls	7.801698e+00	2.092819e+02	9.680365e+01
1500         	walls	7.796602e+00	2.092992e+02	9.680561e+01
1550         	walls	7.792410e+00	2.093128e+02	9.680717e+01
1553         	walls	7.792188e+00	2.093135e+02	9.680640e+01
