# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	2.411744e+01	3.006876e+01	2.651883e+01
50           	walls	3.919139e+00	2.282311e+01	1.573857e+01
100          	walls	2.937718e+00	2.482131e+01	1.510758e+01
150          	walls	1.232124e+00	2.563178e+01	1.530641e+01
200          	walls	2.592126e+00	2.617717e+01	1.552628e+01
250          	walls	2.441007e+00	2.646513e+01	1.562882e+01
300          	walls	1.830179e+00	2.659107e+01	1.567423e+01
350          	walls	1.991382e+00	2.662650e+01	1.569057e+01
400          	walls	2.657868e+00	2.661977e+01	1.570252e+01
450          	walls	3.167044e+00	2.660388e+01	1.569536e+01
500          	walls	2.819715e+00	2.659791e+01	1.568698e+01
550          	walls	2.827348e+00	2.660722e+01	1.568220e+01
600          	walls	2.523406e+00	2.662673e+01	1.567133e+01
650          	walls	2.561899e+00	2.664603e+01	1.566478e+01
700          	walls	2.738701e+00	2.665465e+01	1.565751e+01
750          	walls	2.836135e+00	2.664607e+01	1.564982e+01
800          	walls	2.761380e+00	2.662007e+01	1.563978e+01
850          	walls	2.590536e+00	2.658260e+01	1.563167e+01
900          	walls	2.433669e+00	2.654266e+01	1.562320e+01
950          	walls	2.281201e+00	2.650769e+01	1.561651e+01
1000         	walls	2.116310e+00	2.647972e+01	1.560885e+01
1050         	walls	1.932033e+00	2.645539e+01	1.560175e+01
1100         	walls	1.733650e+00	2.642971e+01	1.559301e+01
1150         	walls	1.533713e+00	2.640058e+01	1.558516e+01
