# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.046114e+02	1.127673e+02	1.079451e+02
50           	walls	1.105133e+01	3.885346e+02	2.232725e+02
100          	walls	7.643085e+00	4.117062e+02	2.348897e+02
150          	walls	1.029625e+01	4.289104e+02	2.368740e+02
200          	walls	1.102296e+01	4.393005e+02	2.378048e+02
250          	walls	8.544823e+00	4.438425e+02	2.385587e+02
300          	walls	6.028528e+00	4.462446e+02	2.390465e+02
350          	walls	5.903888e+00	4.481827e+02	2.392586e+02
400          	walls	6.387856e+00	4.494943e+02	2.393649e+02
450          	walls	6.296633e+00	4.501539e+02	2.394493e+02
500          	walls	5.997876e+00	4.504644e+02	2.395094e+02
550          	walls	5.863372e+00	4.506598e+02	2.395407e+02
600          	walls	5.870937e+00	4.508021e+02	2.395555e+02
650          	walls	5.881072e+00	4.508904e+02	2.395648e+02
700          	walls	5.863288e+00	4.509356e+02	2.395712e+02
750          	walls	5.846833e+00	4.509591e+02	2.395750e+02
800          	walls	5.830834e+00	4.509742e+02	2.395775e+02
850          	walls	5.837121e+00	4.509845e+02	2.395786e+02
900          	walls	5.837324e+00	4.509908e+02	2.395793e+02
950          	walls	5.835949e+00	4.509938e+02	2.395798e+02
1000         	walls	5.834779e+00	4.509956e+02	2.395801e+02
1050         	walls	5.834377e+00	4.509965e+02	2.395802e+02
1100         	walls	5.834350e+00	4.509974e+02	2.395803e+02
1150         	walls	5.834314e+00	4.509977e+02	2.395804e+02
1200         	walls	5.834216e+00	4.509980e+02	2.395804e+02
1250         	walls	5.834144e+00	4.509983e+02	2.395804e+02
1300         	walls	5.834118e+00	4.509983e+02	2.395804e+02
1350         	walls	5.834118e+00	4.509983e+02	2.395804e+02
1400         	walls	5.834109e+00	4.509983e+02	2.395804e+02
1450         	walls	5.834100e+00	4.509983e+02	2.395804e+02
1500         	walls	5.834100e+00	4.509983e+02	2.395804e+02
1550         	walls	5.834100e+00	4.509983e+02	2.395804e+02
1600         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1650         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1700         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1750         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1800         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1850         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1900         	walls	5.834091e+00	4.509983e+02	2.395804e+02
1950         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2000         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2050         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2100         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2150         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2200         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2250         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2300         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2350         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2400         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2450         	walls	5.834091e+00	4.509983e+02	2.395804e+02
2500         	walls	5.834091e+00	4.509983e+02	2.395804e+02
