# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.139116e+02	1.476895e+02	1.365493e+02
50           	walls	3.123555e+01	1.036400e+03	3.950978e+02
100          	walls	1.535434e+01	1.552383e+03	3.262071e+02
150          	walls	1.348640e+01	1.695547e+03	2.765296e+02
200          	walls	8.769501e+00	1.544225e+03	2.513612e+02
250          	walls	5.695534e+00	1.496473e+03	2.418845e+02
300          	walls	6.357401e+00	1.438750e+03	2.710042e+02
350          	walls	5.398313e+00	1.373332e+03	2.912618e+02
400          	walls	4.329750e+00	1.305456e+03	3.054365e+02
450          	walls	6.656160e+00	1.243595e+03	3.174317e+02
500          	walls	3.639790e+00	1.186361e+03	3.251557e+02
550          	walls	7.200356e+00	1.136605e+03	3.349726e+02
600          	walls	7.997307e+00	1.095412e+03	3.462070e+02
650          	walls	6.476109e+00	1.062639e+03	3.391697e+02
700          	walls	5.783027e+00	1.052629e+03	3.378521e+02
750          	walls	5.737591e+00	1.061656e+03	3.349426e+02
800          	walls	6.732459e+00	1.072761e+03	3.273604e+02
850          	walls	6.342437e+00	1.078099e+03	3.201394e+02
900          	walls	8.470772e+00	1.078786e+03	3.155843e+02
950          	walls	7.730183e+00	1.075499e+03	3.171201e+02
1000         	walls	7.006234e+00	1.067417e+03	3.254869e+02
1050         	walls	7.452209e+00	1.052140e+03	3.390157e+02
1100         	walls	4.956461e+00	1.030428e+03	3.499045e+02
1150         	walls	7.183750e+00	1.003162e+03	3.588022e+02
1200         	walls	2.923357e+00	9.704825e+02	3.641774e+02
1250         	walls	5.132286e+00	9.325156e+02	3.655122e+02
1300         	walls	4.392674e+00	8.937387e+02	3.626779e+02
1350         	walls	3.672222e+00	8.971193e+02	3.557802e+02
1400         	walls	5.871917e+00	1.029436e+03	3.510728e+02
1450         	walls	5.999912e+00	1.099900e+03	3.501307e+02
1500         	walls	7.510576e+00	1.117077e+03	3.537040e+02
1550         	walls	7.999500e+00	1.111712e+03	3.591196e+02
1600         	walls	8.396688e+00	1.187287e+03	3.624473e+02
1650         	walls	1.369453e+01	1.202664e+03	3.611577e+02
1700         	walls	2.029973e+01	1.176712e+03	3.627961e+02
