# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.909828e-01	2.276615e-01	2.087518e-01
500          	walls	2.373517e-03	2.819190e-02	9.244163e-03
1000         	walls	1.104252e-04	2.137673e-02	6.237321e-03
1500         	walls	6.993607e-05	2.149959e-02	5.988287e-03
2000         	walls	3.638163e-04	2.117916e-02	5.928095e-03
2500         	walls	6.402595e-04	2.121821e-02	5.914115e-03
3000         	walls	5.806267e-04	2.104320e-02	5.925077e-03
3500         	walls	4.337187e-04	2.111793e-02	5.897818e-03
