# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	9.301756e+01	1.079846e+02	1.024667e+02
50           	walls	7.671825e+00	3.262796e+02	1.545830e+02
100          	walls	1.118488e+01	3.075666e+02	1.484673e+02
150          	walls	1.788159e+01	2.903522e+02	1.576721e+02
200          	walls	1.162041e+01	2.782938e+02	1.642956e+02
250          	walls	6.275798e+00	2.717403e+02	1.669097e+02
300          	walls	9.013938e+00	2.688386e+02	1.671770e+02
350          	walls	1.102334e+01	2.671261e+02	1.671309e+02
400          	walls	1.266554e+01	2.657441e+02	1.671244e+02
450          	walls	1.387111e+01	2.647093e+02	1.671438e+02
500          	walls	1.463290e+01	2.640438e+02	1.671557e+02
550          	walls	1.508638e+01	2.636459e+02	1.671563e+02
600          	walls	1.536855e+01	2.633992e+02	1.671536e+02
650          	walls	1.555659e+01	2.632362e+02	1.671521e+02
700          	walls	1.568311e+01	2.631261e+02	1.671520e+02
750          	walls	1.576551e+01	2.630541e+02	1.671521e+02
800          	walls	1.581768e+01	2.630081e+02	1.671521e+02
850          	walls	1.585074e+01	2.629795e+02	1.671520e+02
900          	walls	1.587209e+01	2.629605e+02	1.671519e+02
950          	walls	1.588613e+01	2.629483e+02	1.671518e+02
1000         	walls	1.589550e+01	2.629403e+02	1.671518e+02
1050         	walls	1.590096e+01	2.629350e+02	1.671518e+02
1100         	walls	1.590490e+01	2.629314e+02	1.671518e+02
1150         	walls	1.590663e+01	2.629293e+02	1.671518e+02
1200         	walls	1.590848e+01	2.629282e+02	1.671518e+02
1250         	walls	1.592252e+01	2.629271e+02	1.671519e+02
1300         	walls	1.592223e+01	2.629266e+02	1.671517e+02
1350         	walls	1.590110e+01	2.629261e+02	1.671518e+02
1372         	walls	1.591647e+01	2.629260e+02	1.671517e+02
