# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	8.476084e+00	1.207097e+01	1.067599e+01
50           	walls	9.796853e-01	7.405440e+00	6.250412e+00
100          	walls	5.289970e-01	6.393930e+00	5.429644e+00
150          	walls	1.429375e+00	6.059425e+00	5.115655e+00
200          	walls	1.299051e+00	6.298424e+00	4.954200e+00
250          	walls	1.161315e+00	6.571702e+00	4.856704e+00
300          	walls	1.064706e+00	6.768397e+00	4.796511e+00
350          	walls	9.998633e-01	6.904976e+00	4.755895e+00
400          	walls	9.597470e-01	7.005719e+00	4.730219e+00
450          	walls	9.385676e-01	7.086361e+00	4.713347e+00
500          	walls	9.321779e-01	7.152515e+00	4.701722e+00
550          	walls	9.357952e-01	7.206252e+00	4.694259e+00
600          	walls	9.459680e-01	7.248462e+00	4.689077e+00
