# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.088674e+01	1.439126e+01	1.260415e+01
50           	walls	2.842864e+00	8.552884e+00	7.539061e+00
100          	walls	1.556861e+00	8.324283e+00	6.665238e+00
150          	walls	6.799946e-01	8.696026e+00	6.291224e+00
200          	walls	1.002804e+00	8.878040e+00	6.089450e+00
250          	walls	5.791055e-01	8.971977e+00	5.964914e+00
300          	walls	3.103814e-01	9.030016e+00	5.888840e+00
350          	walls	5.900764e-01	9.071998e+00	5.847966e+00
400          	walls	6.995569e-01	9.104545e+00	5.822484e+00
450          	walls	7.435545e-01	9.129270e+00	5.806831e+00
500          	walls	7.530901e-01	9.146671e+00	5.797186e+00
550          	walls	7.424283e-01	9.157671e+00	5.791114e+00
600          	walls	7.169531e-01	9.163648e+00	5.787055e+00
650          	walls	6.806575e-01	9.166244e+00	5.784220e+00
700          	walls	6.386857e-01	9.166914e+00	5.782116e+00
750          	walls	5.919954e-01	9.166706e+00	5.780413e+00
800          	walls	5.413354e-01	9.166212e+00	5.778926e+00
850          	walls	4.861789e-01	9.165782e+00	5.777570e+00
900          	walls	4.273419e-01	9.165464e+00	5.776207e+00
950          	walls	3.640187e-01	9.165225e+00	5.774746e+00
1000         	walls	2.884812e-01	9.165049e+00	5.773182e+00
1050         	walls	1.986220e-01	9.164826e+00	5.771475e+00
1100         	walls	1.711259e-01	9.164572e+00	5.770557e+00
1150         	walls	2.499742e-01	9.164252e+00	5.770955e+00
1200         	walls	3.167649e-01	9.163870e+00	5.771215e+00
