# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
227          	((-6.663934e-06 4.092693e-05 -3.615781e-25) (1.340893e-05 7.252719e-07 -2.342466e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.139039e-06 -9.995901e-07 -8.270879e-06) (-1.087908e-07 2.011340e-06 -9.273413e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
228          	((-6.674723e-06 4.098216e-05 -3.610785e-25) (1.333434e-05 7.274071e-07 -2.345341e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.147324e-06 -1.001209e-06 -8.275399e-06) (-1.091111e-07 2.000151e-06 -9.245118e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
229          	((-6.685694e-06 4.103749e-05 -3.605746e-25) (1.326033e-05 7.295391e-07 -2.348211e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.155623e-06 -1.002854e-06 -8.279753e-06) (-1.094309e-07 1.989050e-06 -9.217075e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
230          	((-6.701372e-06 4.109334e-05 -3.744265e-25) (1.318701e-05 7.316641e-07 -2.319471e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.164002e-06 -1.005206e-06 -8.283893e-06) (-1.097496e-07 1.978052e-06 -9.189279e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
231          	((-6.714557e-06 4.114945e-05 -3.832762e-25) (1.311447e-05 7.337774e-07 -2.301689e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.172417e-06 -1.007184e-06 -8.288027e-06) (-1.100666e-07 1.967171e-06 -9.161723e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
232          	((-6.724098e-06 4.120307e-05 -3.827768e-25) (1.304253e-05 7.358812e-07 -2.304362e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.180460e-06 -1.008615e-06 -8.292365e-06) (-1.103822e-07 1.956380e-06 -9.134412e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
233          	((-6.733890e-06 4.125503e-05 -3.823132e-25) (1.297108e-05 7.379799e-07 -2.306899e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.188255e-06 -1.010084e-06 -8.296605e-06) (-1.106970e-07 1.945663e-06 -9.107350e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
234          	((-6.744095e-06 4.130707e-05 -3.818392e-25) (1.290013e-05 7.400766e-07 -2.309405e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.196061e-06 -1.011614e-06 -8.300609e-06) (-1.110115e-07 1.935020e-06 -9.080545e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
235          	((-6.754466e-06 4.135923e-05 -3.813511e-25) (1.282965e-05 7.421722e-07 -2.311844e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.203884e-06 -1.013170e-06 -8.304507e-06) (-1.113258e-07 1.924448e-06 -9.054000e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
236          	((-6.764735e-06 4.141203e-05 -3.808356e-25) (1.275963e-05 7.442661e-07 -2.314277e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.211804e-06 -1.014710e-06 -8.308337e-06) (-1.116399e-07 1.913944e-06 -9.027710e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
237          	((-6.775005e-06 4.146395e-05 -3.803372e-25) (1.269005e-05 7.463563e-07 -2.316599e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.219592e-06 -1.016251e-06 -8.312219e-06) (-1.119534e-07 1.903508e-06 -9.001664e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
238          	((-6.785385e-06 4.151477e-05 -3.798602e-25) (1.262095e-05 7.484416e-07 -2.318822e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.227216e-06 -1.017808e-06 -8.316079e-06) (-1.122662e-07 1.893142e-06 -8.975853e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
239          	((-6.800569e-06 4.156458e-05 -3.940308e-25) (1.255246e-05 7.505182e-07 -2.288738e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.234687e-06 -1.020085e-06 -8.319782e-06) (-1.125777e-07 1.882869e-06 -8.950259e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
240          	((-6.810338e-06 4.161240e-05 -3.935930e-25) (1.248463e-05 7.525848e-07 -2.290671e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.241860e-06 -1.021551e-06 -8.323641e-06) (-1.128877e-07 1.872695e-06 -8.924877e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
241          	((-6.819866e-06 4.166046e-05 -3.931330e-25) (1.241728e-05 7.546453e-07 -2.292635e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.249069e-06 -1.022980e-06 -8.327296e-06) (-1.131968e-07 1.862593e-06 -8.899710e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
242          	((-6.829542e-06 4.170913e-05 -3.926499e-25) (1.235043e-05 7.567008e-07 -2.294640e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.256370e-06 -1.024431e-06 -8.330760e-06) (-1.135051e-07 1.852565e-06 -8.874762e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
243          	((-6.839386e-06 4.175758e-05 -3.921672e-25) (1.228407e-05 7.587522e-07 -2.296582e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.263637e-06 -1.025908e-06 -8.334171e-06) (-1.138128e-07 1.842610e-06 -8.850040e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
244          	((-6.854042e-06 4.180504e-05 -4.066589e-25) (1.221828e-05 7.607957e-07 -2.265441e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.270756e-06 -1.028106e-06 -8.337532e-06) (-1.141194e-07 1.832742e-06 -8.825530e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
245          	((-6.862977e-06 4.185123e-05 -4.062043e-25) (1.215311e-05 7.628293e-07 -2.267079e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.277685e-06 -1.029447e-06 -8.341005e-06) (-1.144244e-07 1.822967e-06 -8.801224e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
246          	((-6.871741e-06 4.189642e-05 -4.057628e-25) (1.208835e-05 7.648563e-07 -2.268608e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.284463e-06 -1.030761e-06 -8.344378e-06) (-1.147284e-07 1.813253e-06 -8.777124e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
247          	((-6.880824e-06 4.194094e-05 -4.053311e-25) (1.202403e-05 7.668788e-07 -2.270060e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.291141e-06 -1.032124e-06 -8.347614e-06) (-1.150318e-07 1.803605e-06 -8.753232e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
248          	((-6.890149e-06 4.198522e-05 -4.048946e-25) (1.196014e-05 7.688987e-07 -2.271460e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.297784e-06 -1.033522e-06 -8.350736e-06) (-1.153348e-07 1.794022e-06 -8.729554e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
249          	((-6.899452e-06 4.202944e-05 -4.044465e-25) (1.189667e-05 7.709158e-07 -2.272808e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.304416e-06 -1.034918e-06 -8.353781e-06) (-1.156374e-07 1.784501e-06 -8.706091e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
250          	((-6.913515e-06 4.207333e-05 -4.192056e-25) (1.183374e-05 7.729247e-07 -2.240588e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.311000e-06 -1.037027e-06 -8.356715e-06) (-1.159387e-07 1.775061e-06 -8.682821e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
251          	((-6.921854e-06 4.211582e-05 -4.187711e-25) (1.177139e-05 7.749227e-07 -2.241690e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.317373e-06 -1.038278e-06 -8.359820e-06) (-1.162384e-07 1.765709e-06 -8.659735e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
252          	((-6.930130e-06 4.215705e-05 -4.183619e-25) (1.170943e-05 7.769140e-07 -2.242736e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.323557e-06 -1.039520e-06 -8.362811e-06) (-1.165371e-07 1.756415e-06 -8.636837e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
253          	((-6.938685e-06 4.219809e-05 -4.179444e-25) (1.164789e-05 7.788998e-07 -2.243754e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.329713e-06 -1.040803e-06 -8.365583e-06) (-1.168350e-07 1.747184e-06 -8.614134e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
254          	((-6.947435e-06 4.223886e-05 -4.175194e-25) (1.158677e-05 7.808822e-07 -2.244689e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.335829e-06 -1.042115e-06 -8.368242e-06) (-1.171323e-07 1.738015e-06 -8.591633e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
255          	((-6.960407e-06 4.227926e-05 -4.303727e-25) (1.152615e-05 7.828580e-07 -2.216262e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.341889e-06 -1.044061e-06 -8.370813e-06) (-1.174287e-07 1.728922e-06 -8.569319e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
256          	((-6.968260e-06 4.231897e-05 -4.299420e-25) (1.146606e-05 7.848246e-07 -2.216940e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.347846e-06 -1.045239e-06 -8.373512e-06) (-1.177237e-07 1.719909e-06 -8.547184e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
257          	((-6.976024e-06 4.235706e-05 -4.295490e-25) (1.140633e-05 7.867850e-07 -2.217514e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.353560e-06 -1.046404e-06 -8.376175e-06) (-1.180177e-07 1.710949e-06 -8.525223e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
258          	((-6.984070e-06 4.239431e-05 -4.291680e-25) (1.134698e-05 7.887398e-07 -2.218012e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.359146e-06 -1.047610e-06 -8.378670e-06) (-1.183110e-07 1.702047e-06 -8.503445e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
259          	((-6.992289e-06 4.243165e-05 -4.287678e-25) (1.128802e-05 7.906906e-07 -2.218477e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.364748e-06 -1.048843e-06 -8.380963e-06) (-1.186036e-07 1.693204e-06 -8.481858e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
260          	((-7.000470e-06 4.246895e-05 -4.283526e-25) (1.122944e-05 7.926375e-07 -2.218876e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.370343e-06 -1.050070e-06 -8.383170e-06) (-1.188956e-07 1.684416e-06 -8.460461e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
261          	((-7.013598e-06 4.250549e-05 -4.436484e-25) (1.117136e-05 7.945757e-07 -2.184565e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.375823e-06 -1.052040e-06 -8.385327e-06) (-1.191864e-07 1.675703e-06 -8.439231e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
262          	((-7.020796e-06 4.254052e-05 -4.432617e-25) (1.111382e-05 7.965028e-07 -2.184650e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.381078e-06 -1.053119e-06 -8.387671e-06) (-1.194754e-07 1.667073e-06 -8.418156e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
263          	((-7.027856e-06 4.257466e-05 -4.428885e-25) (1.105662e-05 7.984228e-07 -2.184706e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.386199e-06 -1.054178e-06 -8.389842e-06) (-1.197634e-07 1.658493e-06 -8.397241e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
264          	((-7.035203e-06 4.260811e-05 -4.425198e-25) (1.099981e-05 8.003373e-07 -2.184691e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.391217e-06 -1.055281e-06 -8.391824e-06) (-1.200506e-07 1.649971e-06 -8.376495e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
265          	((-7.042729e-06 4.264139e-05 -4.421393e-25) (1.094336e-05 8.022479e-07 -2.184602e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.396208e-06 -1.056409e-06 -8.393659e-06) (-1.203372e-07 1.641503e-06 -8.355928e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
266          	((-7.050207e-06 4.267439e-05 -4.417523e-25) (1.088725e-05 8.041547e-07 -2.184408e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.401158e-06 -1.057531e-06 -8.395442e-06) (-1.206232e-07 1.633088e-06 -8.335540e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
267          	((-7.062275e-06 4.270676e-05 -4.560770e-25) (1.083161e-05 8.060528e-07 -2.151699e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.406013e-06 -1.059341e-06 -8.397144e-06) (-1.209079e-07 1.624742e-06 -8.315308e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
268          	((-7.068779e-06 4.273783e-05 -4.557122e-25) (1.077648e-05 8.079399e-07 -2.151232e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.410674e-06 -1.060317e-06 -8.398974e-06) (-1.211910e-07 1.616472e-06 -8.295222e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
269          	((-7.075212e-06 4.276714e-05 -4.553810e-25) (1.072166e-05 8.098198e-07 -2.150630e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.415071e-06 -1.061282e-06 -8.400736e-06) (-1.214730e-07 1.608249e-06 -8.275284e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
270          	((-7.081881e-06 4.279623e-05 -4.550396e-25) (1.066719e-05 8.116945e-07 -2.149999e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.419434e-06 -1.062282e-06 -8.402242e-06) (-1.217542e-07 1.600079e-06 -8.255505e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
271          	((-7.088686e-06 4.282549e-05 -4.546763e-25) (1.061307e-05 8.135655e-07 -2.149336e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.423824e-06 -1.063303e-06 -8.403561e-06) (-1.220348e-07 1.591961e-06 -8.235892e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
272          	((-7.095436e-06 4.285444e-05 -4.543079e-25) (1.055928e-05 8.154322e-07 -2.148575e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.428167e-06 -1.064315e-06 -8.404841e-06) (-1.223148e-07 1.583891e-06 -8.216445e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
273          	((-7.106659e-06 4.288259e-05 -4.682596e-25) (1.050592e-05 8.172898e-07 -2.116160e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.432389e-06 -1.065999e-06 -8.406056e-06) (-1.225935e-07 1.575888e-06 -8.197143e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
274          	((-7.112473e-06 4.290926e-05 -4.679227e-25) (1.045304e-05 8.191363e-07 -2.115091e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.436388e-06 -1.066871e-06 -8.407399e-06) (-1.228704e-07 1.567956e-06 -8.177977e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
275          	((-7.118229e-06 4.293392e-05 -4.676254e-25) (1.040046e-05 8.209752e-07 -2.113854e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.440089e-06 -1.067734e-06 -8.408682e-06) (-1.231463e-07 1.560070e-06 -8.158950e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
276          	((-7.124187e-06 4.295839e-05 -4.673154e-25) (1.034822e-05 8.228090e-07 -2.112580e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.443758e-06 -1.068628e-06 -8.409690e-06) (-1.234213e-07 1.552233e-06 -8.140068e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
277          	((-7.130234e-06 4.298327e-05 -4.669761e-25) (1.029630e-05 8.246389e-07 -2.111290e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.447490e-06 -1.069535e-06 -8.410483e-06) (-1.236958e-07 1.544445e-06 -8.121342e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
278          	((-7.136207e-06 4.300798e-05 -4.666278e-25) (1.024469e-05 8.264644e-07 -2.109923e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.451196e-06 -1.070431e-06 -8.411229e-06) (-1.239697e-07 1.536703e-06 -8.102770e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
279          	((-7.146472e-06 4.303176e-05 -4.800260e-25) (1.019349e-05 8.282807e-07 -2.078167e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.454764e-06 -1.071971e-06 -8.411926e-06) (-1.242421e-07 1.529024e-06 -8.084334e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
280          	((-7.151554e-06 4.305389e-05 -4.797173e-25) (1.014275e-05 8.300857e-07 -2.076471e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.458084e-06 -1.072733e-06 -8.412754e-06) (-1.245129e-07 1.521412e-06 -8.066023e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
281          	((-7.156592e-06 4.307379e-05 -4.794542e-25) (1.009229e-05 8.318831e-07 -2.074581e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.461069e-06 -1.073489e-06 -8.413533e-06) (-1.247825e-07 1.513843e-06 -8.047842e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
282          	((-7.161801e-06 4.309342e-05 -4.791784e-25) (1.004214e-05 8.336751e-07 -2.072636e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.464013e-06 -1.074270e-06 -8.414023e-06) (-1.250513e-07 1.506321e-06 -8.029797e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
283          	((-7.167058e-06 4.311361e-05 -4.788681e-25) (9.992302e-06 8.354631e-07 -2.070682e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.467041e-06 -1.075059e-06 -8.414272e-06) (-1.253195e-07 1.498845e-06 -8.011895e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
284          	((-7.172210e-06 4.313383e-05 -4.785429e-25) (9.942753e-06 8.372466e-07 -2.068670e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.470075e-06 -1.075832e-06 -8.414454e-06) (-1.255870e-07 1.491413e-06 -7.994139e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
285          	((-7.177276e-06 4.315293e-05 -4.782393e-25) (9.893486e-06 8.390239e-07 -2.066507e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.472940e-06 -1.076591e-06 -8.414675e-06) (-1.258536e-07 1.484023e-06 -7.976521e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
286          	((-7.187381e-06 4.317048e-05 -4.937941e-25) (9.844641e-06 8.407903e-07 -2.029288e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.475572e-06 -1.078107e-06 -8.414801e-06) (-1.261186e-07 1.476696e-06 -7.959018e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
287          	((-7.191520e-06 4.318655e-05 -4.935322e-25) (9.796270e-06 8.425448e-07 -2.026783e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.477982e-06 -1.078728e-06 -8.414975e-06) (-1.263817e-07 1.469440e-06 -7.941626e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
288          	((-7.195533e-06 4.320089e-05 -4.932975e-25) (9.748167e-06 8.442917e-07 -2.024140e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.480134e-06 -1.079330e-06 -8.415052e-06) (-1.266438e-07 1.462225e-06 -7.924351e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
289          	((-7.199692e-06 4.321525e-05 -4.930440e-25) (9.700366e-06 8.460332e-07 -2.021455e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.482287e-06 -1.079954e-06 -8.414859e-06) (-1.269050e-07 1.455055e-06 -7.907202e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
290          	((-7.203775e-06 4.323139e-05 -4.927239e-25) (9.652852e-06 8.477704e-07 -2.018857e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.484708e-06 -1.080566e-06 -8.414286e-06) (-1.271656e-07 1.447928e-06 -7.890187e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
291          	((-7.208011e-06 4.324490e-05 -4.924692e-25) (9.605601e-06 8.495022e-07 -2.015948e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.486735e-06 -1.081202e-06 -8.414005e-06) (-1.274253e-07 1.440840e-06 -7.873309e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
292          	((-7.212132e-06 4.325705e-05 -4.922378e-25) (9.558606e-06 8.512284e-07 -2.012848e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.488558e-06 -1.081820e-06 -8.413687e-06) (-1.276843e-07 1.433791e-06 -7.856557e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
293          	((-7.216136e-06 4.326819e-05 -4.920159e-25) (9.511871e-06 8.529481e-07 -2.009605e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.490229e-06 -1.082420e-06 -8.413189e-06) (-1.279422e-07 1.426781e-06 -7.839926e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
294          	((-7.225296e-06 4.327908e-05 -5.082549e-25) (9.465551e-06 8.546571e-07 -1.970009e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.491862e-06 -1.083794e-06 -8.412376e-06) (-1.281986e-07 1.419833e-06 -7.823396e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
295          	((-7.228157e-06 4.328978e-05 -5.079924e-25) (9.419701e-06 8.563542e-07 -1.966707e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.493468e-06 -1.084224e-06 -8.411575e-06) (-1.284531e-07 1.412955e-06 -7.806967e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
296          	((-7.230918e-06 4.329864e-05 -5.077675e-25) (9.374102e-06 8.580432e-07 -1.963272e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.494795e-06 -1.084638e-06 -8.410827e-06) (-1.287065e-07 1.406115e-06 -7.790645e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
297          	((-7.233915e-06 4.330628e-05 -5.075620e-25) (9.328785e-06 8.597258e-07 -1.959664e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.495942e-06 -1.085087e-06 -8.409945e-06) (-1.289589e-07 1.399318e-06 -7.774437e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
298          	((-7.236855e-06 4.331466e-05 -5.073147e-25) (9.283733e-06 8.614035e-07 -1.955997e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.497199e-06 -1.085528e-06 -8.408669e-06) (-1.292105e-07 1.392560e-06 -7.758351e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
299          	((-7.239749e-06 4.332188e-05 -5.070837e-25) (9.238922e-06 8.630760e-07 -1.952142e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.498282e-06 -1.085962e-06 -8.407391e-06) (-1.294614e-07 1.385838e-06 -7.742390e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
300          	((-7.242700e-06 4.332637e-05 -5.069183e-25) (9.194343e-06 8.647428e-07 -1.947999e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.498955e-06 -1.086405e-06 -8.406325e-06) (-1.297114e-07 1.379151e-06 -7.726548e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
301          	((-7.245482e-06 4.333032e-05 -5.067480e-25) (9.150003e-06 8.664038e-07 -1.943755e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.499548e-06 -1.086822e-06 -8.405038e-06) (-1.299606e-07 1.372500e-06 -7.710812e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
302          	((-7.248104e-06 4.333429e-05 -5.065555e-25) (9.105915e-06 8.680582e-07 -1.939476e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.500143e-06 -1.087216e-06 -8.403459e-06) (-1.302087e-07 1.365887e-06 -7.695183e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
303          	((-7.256080e-06 4.333832e-05 -5.235358e-25) (9.062240e-06 8.697013e-07 -1.897293e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.500749e-06 -1.088412e-06 -8.401589e-06) (-1.304552e-07 1.359336e-06 -7.679644e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
304          	((-7.257462e-06 4.334191e-05 -5.233017e-25) (9.019028e-06 8.713315e-07 -1.892973e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.501286e-06 -1.088619e-06 -8.399810e-06) (-1.306997e-07 1.352854e-06 -7.664195e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
305          	((-7.258786e-06 4.334274e-05 -5.231330e-25) (8.976049e-06 8.729526e-07 -1.888437e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.501412e-06 -1.088818e-06 -8.398166e-06) (-1.309429e-07 1.346407e-06 -7.648840e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
306          	((-7.260371e-06 4.334174e-05 -5.230004e-25) (8.933332e-06 8.745668e-07 -1.883648e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.501261e-06 -1.089056e-06 -8.396377e-06) (-1.311850e-07 1.340000e-06 -7.633587e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
307          	((-7.261832e-06 4.334152e-05 -5.228182e-25) (8.890857e-06 8.761762e-07 -1.878767e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.501228e-06 -1.089275e-06 -8.394101e-06) (-1.314264e-07 1.333629e-06 -7.618443e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
308          	((-7.263180e-06 4.334076e-05 -5.226330e-25) (8.848601e-06 8.777810e-07 -1.873762e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.501114e-06 -1.089477e-06 -8.391751e-06) (-1.316672e-07 1.327290e-06 -7.603414e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
309          	((-7.264565e-06 4.333778e-05 -5.225017e-25) (8.806554e-06 8.793802e-07 -1.868548e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.500667e-06 -1.089685e-06 -8.389615e-06) (-1.319070e-07 1.320983e-06 -7.588492e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
310          	((-7.265789e-06 4.333412e-05 -5.223708e-25) (8.764721e-06 8.809733e-07 -1.863225e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.500118e-06 -1.089868e-06 -8.387298e-06) (-1.321460e-07 1.314708e-06 -7.573667e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
