# Forces     
# CofR       : (5.000000e-01 0.000000e+00 0.000000e+00)
# Time       forces(pressure viscous porous)	moments(pressure viscous porous)
20           	((8.635062e-07 4.392038e-05 3.051553e-24) (1.178055e-04 -1.877474e-07 -7.241318e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.588057e-06 1.295259e-07 -1.843532e-06) (2.816211e-08 1.767082e-05 -6.036216e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
21           	((-1.632848e-05 -4.849631e-05 3.426133e-25) (1.135870e-04 -4.203289e-07 -1.201314e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.274446e-06 -2.449272e-06 -9.079940e-06) (6.304934e-08 1.703805e-05 -5.893208e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
22           	((-1.489693e-05 -4.854015e-05 4.124316e-25) (1.099850e-04 6.060841e-07 -3.470610e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.281023e-06 -2.234539e-06 -1.163385e-05) (-9.091262e-08 1.649776e-05 -5.690583e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
23           	((-3.414154e-06 1.363768e-05 -7.734212e-25) (1.067014e-04 1.500011e-06 -2.637430e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.045652e-06 -5.121231e-07 -8.968884e-06) (-2.250017e-07 1.600522e-05 -5.466796e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
24           	((4.972114e-06 5.898466e-05 5.668478e-25) (1.035188e-04 1.467137e-06 -5.262379e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.847699e-06 7.458171e-07 -5.312945e-06) (-2.200705e-07 1.552782e-05 -5.277427e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
25           	((2.974416e-06 5.142888e-05 3.354659e-25) (1.004132e-04 8.332587e-07 -2.924273e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.714332e-06 4.461624e-07 -4.062516e-06) (-1.249888e-07 1.506198e-05 -5.138005e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
26           	((-4.024509e-06 1.637139e-05 -7.115759e-25) (9.752601e-05 3.647095e-07 7.897070e-26) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.455709e-06 -6.036764e-07 -5.334188e-06) (-5.470642e-08 1.462890e-05 -5.022378e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
27           	((-7.874900e-06 -3.681949e-06 -1.329088e-24) (9.492178e-05 4.191507e-07 1.858531e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.522923e-07 -1.181235e-06 -7.092642e-06) (-6.287260e-08 1.423827e-05 -4.899585e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
28           	((-6.131268e-06 5.209024e-06 -1.103944e-24) (9.253795e-05 7.548694e-07 -6.559081e-27) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.813536e-07 -9.196902e-07 -7.730511e-06) (-1.132304e-07 1.388069e-05 -4.763228e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
29           	((-2.318959e-06 2.522435e-05 -5.364575e-25) (9.026656e-05 9.543249e-07 -2.439973e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.783652e-06 -3.478439e-07 -7.225809e-06) (-1.431487e-07 1.353998e-05 -4.628517e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
30           	((-7.080269e-07 3.370383e-05 -2.717760e-25) (8.805222e-05 8.640248e-07 -2.894924e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.055575e-06 -1.062040e-07 -6.491927e-06) (-1.296037e-07 1.320783e-05 -4.511017e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
31           	((-2.023169e-06 2.657894e-05 -4.456849e-25) (8.591301e-05 6.496291e-07 -1.533885e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.986841e-06 -3.034753e-07 -6.274163e-06) (-9.744436e-08 1.288695e-05 -4.411385e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
32           	((-3.583145e-06 1.599643e-05 6.147779e-25) (8.387585e-05 5.362718e-07 -2.988218e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.399464e-06 -5.374717e-07 -6.447727e-06) (-8.044077e-08 1.258138e-05 -4.319307e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
33           	((-4.168047e-06 1.375123e-05 5.321608e-25) (8.195296e-05 5.847019e-07 -2.811552e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.062684e-06 -6.252071e-07 -6.696619e-06) (-8.770529e-08 1.229294e-05 -4.225461e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
34           	((-3.333525e-06 1.959638e-05 6.582944e-25) (8.013869e-05 6.865237e-07 -3.730621e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.939457e-06 -5.000288e-07 -6.800369e-06) (-1.029786e-07 1.202080e-05 -4.129595e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
35           	((-2.449908e-06 2.558144e-05 7.943250e-25) (7.839669e-05 7.212548e-07 -4.618407e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.837215e-06 -3.674862e-07 -6.822386e-06) (-1.081882e-07 1.175950e-05 -4.037470e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
36           	((-2.497909e-06 2.572967e-05 7.933338e-25) (7.671517e-05 6.699874e-07 -4.659141e-25) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.859450e-06 -3.746864e-07 -6.863070e-06) (-1.004981e-07 1.150728e-05 -3.953344e-06) (0.000000e+00 0.000000e+00 0.000000e+00))
