# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	8.546673e+01	9.517116e+01	9.211695e+01
50           	walls	3.307088e+01	1.046576e+02	9.222825e+01
100          	walls	2.248672e+01	1.391448e+02	8.620363e+01
150          	walls	2.748869e+01	1.407168e+02	8.093747e+01
200          	walls	4.121222e+01	1.395849e+02	7.860099e+01
250          	walls	4.141014e+01	1.382960e+02	7.771357e+01
300          	walls	4.156540e+01	1.374485e+02	7.752317e+01
350          	walls	4.165364e+01	1.369893e+02	7.756923e+01
400          	walls	4.169411e+01	1.367845e+02	7.765283e+01
