# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	8.573467e+01	9.212834e+01	9.026570e+01
50           	walls	8.320965e+00	1.284937e+02	7.184468e+01
100          	walls	4.582586e+00	1.294183e+02	6.939574e+01
150          	walls	6.217595e+00	1.267358e+02	7.221434e+01
200          	walls	4.421326e+00	1.255920e+02	7.450931e+01
250          	walls	9.263612e+00	1.248067e+02	7.591654e+01
300          	walls	1.275802e+01	1.244491e+02	7.660669e+01
350          	walls	1.375217e+01	1.243933e+02	7.674852e+01
400          	walls	1.438929e+01	1.244351e+02	7.675568e+01
450          	walls	1.470830e+01	1.244475e+02	7.684914e+01
500          	walls	1.486882e+01	1.244376e+02	7.685854e+01
550          	walls	1.493009e+01	1.244278e+02	7.686589e+01
573          	walls	1.490425e+01	1.244252e+02	7.686501e+01
