# y+ ()      
# Time       	patch        	min          	max          	average      
0            	walls	1.088674e+01	1.439126e+01	1.260415e+01
50           	walls	2.842864e+00	8.552884e+00	7.539061e+00
100          	walls	1.556861e+00	8.324283e+00	6.665238e+00
